,Order,Sample_Site,DATE,Sp,Species,root_leaves,PT,Plot,Treatment,code,aseptate,arbuscule,vesicle,septate,total
ITS99,58,KY,16-Oct,FEAR_Ep,FEAR_Ep,root,4W,4,W,KY.FEAR_Ep.root.4.W,0.323529412,0.039215686,0.009803922,0.098039216,0.421568627
ITS124,59,Kessler,16-Jul,SPCO,SPCO,leaves,4C,4,C,Kessler.SPCO.leaves.4.C,0,0,0,0,3.615384615
ITS63,60,RMBL,16-Aug,ACLE,ACLE,root,10,9,W,RMBL.ACLE.root.10.W,0.66,0.03,0.02,0.1,0.76
ITS71,61,KY,16-Oct,ELCA_Em,ELCA_Em,root,2C,2,C,KY.ELCA_Em.root.2.C,0.4,0.03,0.01,0.09,0.49
ITS149,62,RMBL,16-Aug,FETH,FETH,leaves,4,3,W,RMBL.FETH.leaves.4.W,0,0,0,0,0.09
ITS159,63,RMBL,16-Aug,POPR,POPR,leaves,7,7,C,RMBL.POPR.leaves.7.C,0,0,0,0,0.05
ITS156,64,RMBL,16-Aug,POPR,POPR,leaves,6,5,W,RMBL.POPR.leaves.6.W,0,0,0,0,0.28
ITS160,65,RMBL,16-Aug,ACLE,ACLE,leaves,8,7,W,RMBL.ACLE.leaves.8.W,0,0,0,0,0.299065421
ITS186,66,KY,16-Oct,FEAR_Ep,FEAR_Ep,leaves,5C,5,C,KY.FEAR_Ep.leaves.5.C,0,0,0,0,1
ITS202,67,KY,16-Oct,FEAR_Ep,FEAR_Ep,leaves,4W,4,W,KY.FEAR_Ep.leaves.4.W,0,0,0,0,0.08
ITS43,68,RMBL,16-Aug,FETH,FETH,root,3,3,C,RMBL.FETH.root.3.C,0.533980583,0,0.038834951,0.145631068,0.67961165
ITS102,69,KY,16-Oct,FEAR_Ep,FEAR_Ep,root,5W,5,W,KY.FEAR_Ep.root.5.W,0.46,0.05,0.09,0.01,0.47
ITS79,70,KY,16-Oct,FEAR_Ep,FEAR_Ep,root,4C,4,C,KY.FEAR_Ep.root.4.C,0.35,0.07,0.05,0.05,0.4
ITS112,71,Kessler,16-Jul,SPCO,SPCO,leaves,5C,5,C,Kessler.SPCo.leaves.5.C,0,0,0,0,0.495049505
ITS111,72,Kessler,16-Jul,SPCO,SPCO,leaves,6C,6,C,Kessler.SPCO.leaves.6.C,0,0,0,0,0.22
ITS73,73,KY,16-Oct,FEAR_Em,FEAR_Em,root,2C,2,C,KY.FEAR_Em.root.2.C,0.732673267,0.03960396,0.03960396,0.03960396,0.772277228
ITS80,74,KY,16-Oct,FEAR_Em,FEAR_Em,root,4C,4,C,KY.FEAR_Em.root.4.C,0.171052632,0,0.039473684,0.078947368,0.25
ITS181,75,KY,16-Oct,ELCA_Em,ELCA_Em,leaves,4C,4,C,KY.ELCA_Em.leaves.4.C,0,0,0,0,0.9
ITS103,76,KY,16-Oct,FEAR_Em,FEAR_Em,root,5W,5,W,KY.FEAR_Em.root.5.W,0.242424242,0.01010101,0.03030303,0.03030303,0.272727273
ITS81,77,KY,16-Oct,ELCA_Ep,ELCA_Ep,root,5C,5,C,KY.ELCA_Ep.root.5.C,0.34,0.07,0.01,0.1,0.44
ITS200,78,KY,16-Oct,ELCA_Ep,ELCA_Ep,leaves,4W,4,W,KY.ELCA_Ep.leaves.4.W,0,0,0,0,0.230769231
ITS15,79,Kessler,16-Jul,SCSC,SCSC,root,6C,6,C,Kessler.SCSC.root.6.C,0.12,0.02,0.01,0.2,0.32
ITS41,80,RMBL,16-Aug,POPR,POPR,root,2,1,W,RMBL.POPR.root.2.W,0.44,0.01,0.03,0.03,0.47
ITS37,81,RMBL,16-Aug,FETH,FETH,root,1,1,C,RMBL.FETH.root.1.C,0.57,0,0.01,0.35,0.92
ITS170,82,KY,16-Oct,ELCA_Em,ELCA_Em,leaves,1C,1,C,KY.ELCA_Em.leaves.1.C,0,0,0,0,0.02
ITS138,83,Kessler,16-Jul,SPCO,SPCO,leaves,2C,2,C,Kessler.SPCO.leaves.2.C,0,0,0,0,9.2
ITS129,84,Kessler,16-Jul,SCSC,SCSC,leaves,1C,1,C,Kessler.SCSC.leaves.1.C,0,0,0,0,9.980392157
ITS193,85,KY,16-Oct,ELCA_Em,ELCA_Em,leaves,2W,2,W,KY.ELCA_Em.leaves.2.W,0,0,0,0,0.134615385
ITS191,86,KY,16-Oct,FEAR_Em,FEAR_Em,leaves,1W,1,W,KY.FEAR_Em.leaves.1.W,0,0,0,0,0
ITS182,87,KY,16-Oct,FEAR_Ep,FEAR_Ep,leaves,4C,4,C,KY.FEAR_Ep.leaves.4.C,0,0,0,0,2.74
ITS184,88,KY,16-Oct,ELCA_Ep,ELCA_Ep,leaves,5C,5,C,KY.ELCA_Ep.leaves.5.C,0,0,0,0,1.42
ITS125,89,Kessler,16-Jul,SCSC,SCSC,leaves,4C,4,C,Kessler.SCSC.leaves.4.C,0,0,0,0,3.294117647
ITS126,90,Kessler,16-Jul,SONU,SONU,leaves,4W,4,W,Kessler.SONU.leaves.4.W,0,0,0,0,0.096153846
ITS106,91,Kessler,16-Jul,SPCO,SPCO,leaves,3W,3,W,Kessler.SPCO.leaves.3.W,0,0,0,0,0.15
ITS136,92,Kessler,16-Jul,SONU,SONU,leaves,1C,1,C,Kessler.SONU.leaves.1.C,0,0,0,0,23.82
ITS135,93,Kessler,16-Jul,SPCO,SPCO,leaves,2W,2,W,Kessler.SPCO.leaves.2.W,0,0,0,0,2.153846154
ITS134,94,Kessler,16-Jul,SONU,SONU,leaves,1W,1,W,Kessler.SONU.leaves.1.W,0,0,0,0,0.48
ITS185,95,KY,16-Oct,ELCA_Em,ELCA_Em,leaves,5C,5,C,KY.ELCA_Em.leaves.5.C,0,0,0,0,0.04
ITS100,96,KY,16-Oct,FEAR_Em,FEAR_Em,root,4W,4,W,KY.FEAR_Em.root.4.W,0.09,0,0.01,0.07,0.16
ITS204,97,KY,16-Oct,ELCA_Em,ELCA_Em,leaves,5W,5,W,KY.ELCA_Em.leaves.5.W,0,0,0,0,1.446428571
ITS67,98,KY,16-Oct,ELCA_Em,ELCA_Em,root,1C,1,C,KY.ELCA_Em.root.1.C,0.43,0.02,0.05,0.08,0.51
ITS131,99,Kessler,16-Jul,SCSC,SCSC,leaves,2C,2,C,Kessler.SCSC.leaves.2.C,0,0,0,0,20.4
ITS27,100,Kessler,16-Jul,SCSC,SCSC,root,2W,2,W,Kessler.SCSC.root.2.W,0.594059406,0.03960396,0.069306931,0.277227723,0.871287129
ITS17,101,Kessler,16-Jul,SCSC,SCSC,root,5C,5,C,Kessler.SCSC.root.5.C,0.19,0,0.01,0.03,0.22
ITS70,102,KY,16-Oct,ELCA_Ep,ELCA_Ep,root,2C,2,C,KY.ELCA_Ep.root.2.C,0.504950495,0.00990099,0.01980198,0.04950495,0.554455446
ITS19,103,Kessler,16-Jul,SCSC,SCSC,root,4W,4,W,Kessler.SCSC.root.4.W,0.378640777,0,0.009708738,0,0.378640777
ITS21,104,Kessler,16-Jul,SPCO,SPCO,root,4W,4,W,Kessler.SPCO.root.4.W,0.8,0.01,0.06,0.01,0.81
ITS68,105,KY,16-Oct,FEAR_Ep,FEAR_Ep,root,1C,1,C,KY.FEAR_Ep.root.1.C,0.52,0.01,0.09,0,0.52
ITS96,106,KY,16-Oct,FEAR_Em,FEAR_Em,root,3W,3,W,KY.FEAR_Em.root.3.W,0.16,0.01,0.03,0,0.16
ITS40,107,RMBL,16-Aug,FETH,FETH,root,2,1,W,RMBL.FETH.root.2.W,0.44,0.01,0.08,0.31,0.75
ITS38,108,RMBL,16-Aug,POPR,POPR,root,1,1,C,RMBL.POPR.root.1.C,0.21,0.02,0.01,0.07,0.28
ITS90,109,KY,16-Oct,ELCA_Em,ELCA_Em,root,2W,2,W,KY.ELCA_Em.root.2.W,0.378640777,0.009708738,0.038834951,0.058252427,0.436893204
ITS104,110,Kessler,16-Jul,SONU,SONU,leaves,3C,3,C,Kessler.SONU.leaves.3.C,0,0,0,0,0
ITS118,111,Kessler,16-Jul,SCSC,SCSC,leaves,6C,6,C,Kessler.SCSC.leaves.6.C,0,0,0,0,0.04
ITS121,112,Kessler,16-Jul,SPCO,SPCO,leaves,1C,1,C,Kessler.SPCO.leaves.1.C,0,0,0,0,1.74
ITS66,113,KY,16-Oct,ELCA_Ep,ELCA_Ep,root,1C,1,C,KY.ELCA_Ep.root.1.C,0.52,0,0.05,0.01,0.53
ITS155,114,RMBL,16-Aug,FETH,FETH,leaves,6,5,W,RMBL.FETH.leaves.6.W,0,0,0,0,0.009433962
ITS203,115,KY,16-Oct,FEAR_Em,FEAR_Em,leaves,4W,4,W,KY.FEAR_Em.leaves.4.W,0,0,0,0,0.04
ITS173,116,KY,16-Oct,ELCA_Ep,ELCA_Ep,leaves,2C,2,C,KY.ELCA_Ep.leaves.2.C,0,0,0,0,0.115384615
ITS177,117,KY,16-Oct,ELCA_Ep,ELCA_Ep,leaves,3C,3,C,KY.ELCA_Ep.leaves.3.C,0,0,0,0,0.2
ITS130,118,Kessler,16-Jul,SCSC,SCSC,leaves,2W,2,W,Kessler.SCSC.leaves.2.W,0,0,0,0,7.72
ITS115,119,Kessler,16-Jul,SONU,SONU,leaves,5W,5,W,Kessler.SONU.leaves.5.W,0,0,0,0,0.05
